问题,选项A,选项B,选项C,选项D,答案,题号
在法定计量单位中， 词头 p的数学意义和文字含义分别为： （ “ x＾m” 表示 “ x的m次方” ）,10＾(-12)，皮,10＾12，太,10＾(-9)，纳,10＾9，吉,A,MC1 -0955
如果其他电台报告说你在 2米波段的信号本来很强，但是突然就变弱甚至难以辨别了， 你应当怎么做？,稍稍移动一下自己的位置。电波传播的多径效应会时而引起信号衰落或解调失真,打开发射机的亚音静噪功能,请对方电台检查一下静噪设置,将你电台中的锂电池换成镍氢的,A,MC1 -0591
Q简语“ QSP”的含义为：,我可以将你的消息转信至某个电台；常指业余电台帮助他台中转消息的操作,我可以直接或通过卡片管理局寄发 QSL；常指业余电台交换 QSL卡片的操作,我能够直接或通过他台转信通联（某个电台） ；常指业余电台间的当前联络,我没有需要发送的消息了；常见于业余电台即将结束联络并互致再见之时,A,MC1 -0368
即使打开了发射机的 ALC，将话筒的增益调得过高仍可能导致：,发出的信号失真,发射机的功率提升,发射机的频率漂移变大,天线的驻波比增加,A,MC1 -0613
超外差式收信机所收信号的频率要比本振频率低（或高）一个中频。然而，比本振频率 高（或低）一个中频的另一个遥相对应的信号也可能经混频窜入中频通道，形成“镜像频率 干扰” 或 “镜频干扰” 。 如果某对讲机的技术规格书给出的 UHF接收机第一中频为 58.525MHz ， 那么在 435.00MHz 收到的镜频干扰可能来自：,317.95MHz 或552.05MHz,376.475MHz 或493.525MHz,58.525MHz 或117.05MHz,234.10.05MHz 或.468.20MHz,A,MC1 -0845
在CW通联中，我们有时会抄到缩语“ HPY”或“ HPI” ，意思是：,幸福,希望,抄收,这里,A,MC1 -0398
在频率划分表中，一个频段被标明划分给多种业务时，这些业务被分为下述类别：,主要业务和次要业务,业余业务和非业余业务,民用业务和军用业务,安全业务和一般业务,A,MC1 -0009
我国《无线电频率划分规定》划分给业余业务使用的最接近 C波段卫星电视广播频率的 频段是 5.650 -5.850GHz ，属于无线电频谱的下列频段（波段） ：,超高频（厘米波）,特高频（分米波）,极高频（毫米波）,甚高频（米波）,A,MC1 -0226
在法定计量单位中， 词头 G的数学意义和文字含义分别为： （ “ x＾m” 表示 “ x的m次方” ）,10＾9，吉,10＾6，兆,10＾12，太,10＾(-12)，皮,A,MC1 -0952
发射类别是指用标准符号标示的某发射的一组特性，例如主载波调制方式，调制信号， 被发送信息的类型以及其他适用的信号特性。表示调频 ATV信号的发射类别是：,F3F,F2B,F3E,J3E,A,MC1 -0430
任意交流电压的有效值（ RMS voltage ）是指： （ “ x＾m”表示“ x的m次方” ）,在同一电阻上可以转换出与该交流电压效果相同的热量的直流电压,最终转换成在应用场景中真正发挥作用的有效能量的那部分电压值,电压的平均值乘以 2＾(1/2),电压的峰值除以 2＾(1/2),A,MC1 -0934
430 -440MHz业余频段与公众对讲机的工作频率最为接近。如果业余无线电爱好者希望通 过改变业余电台的配置，将之“扩频”并与公众对讲机持有者通信，则需注意：,业余电台不能与公众对讲机通信,将业余电台设置到公众对讲机的频率，以不大于业余电台执照核定的发射功率与之通信,将业余电台设置到公众对讲机的频率，以不大于 0.5W的发射功率与之通信,将业余电台设置到公众对讲机的频率，但只能进行由业余电台到公众对讲机的单向发信,A,MC1 -0224
Q简语“ QSO”的含义为：,我能够直接或通过他台转信通联（某个电台） ；常指业余电台间的当前联络,我可以直接或通过卡片管理局寄发 QSL；常指业余电台交换 QSL卡片的操作,我可以将你的消息转信至某个电台；常指业余电台帮助他台中转消息的操作,我没有需要发送的消息了；常见于业余电台即将结束联络并互致再见之时,A,MC1 -0366
发射类别（ class of emission ）是指用标准符号标示的某发射的一组特性，例如主载波调 制方式， 调制信号， 被发送信息的类型以及其他适用的信号特性。 表示调频话的发射类别是：,F3E,F3F,J3E,F2B,A,MC1 -0428
术语“音频”是指人们可以普遍听到的声音的频率。以下描述正确的是：,音频的频率范围大致为 16Hz -20kHz,音频位于 VLF至MF多个频带内,音频的频率范围大致为 16kHz -20kHz,音频位于 VHF频带内,A,MC1 -0957
在法定计量单位中， 词头 m的数学意义和文字含义分别为： （ “ x＾m” 表示 “ x的m次方” ）,10＾(-3)，毫,10＾3，千,10＾6，兆,10＾(-6)，微,A,MC1 -0949
单工操作（ simplex operation ）是指：在一条电信通路的两个方向上交替进行传输的一种 工作方式。下列通信采用单工操作方式：,两台由 PTT键转换收发状态的业余对讲机之间的通信,两台有线电话座机之间的通信,两台公众移动电话终端（手机）之间的通信,一台业余中继台与一台由 PTT键转换收发状态的业余对讲机之间的通信,A,MC1 -0569
俗称的 6米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,50 -54MHz，主要业务,50 -52MHz，次要业务,51 -54MHz，专用,52 -56MHz，次要业务,A,MC1 -0192
在14MHz及以上 HF频段进行语音通信通常选用哪个边带？,上边带,下边带,抑制边带,残留边带,A,MC1 -0439
业余无线电通信中三种最基本调制的缩写是 AM、FM和PM。它们的中文名称是：,幅度调制（调幅） 、频率调制（调频） 、相位调制（调相）,幅度调制（调幅） 、频率调制（调频） 、脉宽调制（调脉宽）,频率调制（调频） 、脉码调制（调脉码） 、幅度调制（调幅）,幅度调制（调幅） 、频率调制（调频） 、电码调制（莫尔斯）,A,MC1 -0432
下列哪项技术指标描述了接收机抗拒邻近频率干扰的能力？,中频选择性,整机灵敏度,频道扫描速率,本底噪声,A,MC1 -0859
业余无线电通信缩语“ GLD”的意思是：,高兴,好运气,再见,地线，地面,A,MC1 -0391
业余无线电爱好者无意接收到非业余业务和卫星业余业务的信息时，应遵守的规则为：,不得传播、公布,只可以在业余无线电台间共享，不得在其他场合公开,只可以用非无线电方式在业余无线电爱好者之间交流，不得以无线电方式转发,既然自己可以收到，别人也一定可以收到，当然可以传播、公布或者利用,A,MC1 -0122
业余电台以发射的方法测量发射功率和天线驻波比时必须留意并做到的是：,先将频率设置到无人使用的空闲频率、偏离常用的热点频率,先将天线的发射方向指向正北,先将收发信机的语音压缩功能打开,话筒离嘴距离在 2公分以上，电键按键时间不短于 5秒钟,A,MC1 -0619
某业余电台使用半波垂直偶极天线通联时， 对方所收信号的强度为 S4。 现发射功率不变， 发信方改用增益为 8.15dBi的八木天线（最大辐射方向和极化均不变） ，则对方所收信号的 强度变为： 【提示：收信机信号强度指示从 S1至S9每档增加 6dB】,S5,S6,S7,S8,A,MC1 -0706
UHF业余无线电台在 430MHz频段进行本地联络时应避免占用的频率为：,431.9 -432.240MHz 和435-438MHz,430 -431.9MHz 和432.240 -435MHz,431 -432MHz和438-440MHz,430 -431.2MHz 和435-436MHz,A,MC1 -0206
为什么业余无线电收发信机所用的直流电源线要尽量短，尽量粗？,减小发信时电源线上的压降,分流机箱外表面的射频电流,防止收发信机意外滑落摔坏,厂商销售电源线的一种策略,A,MC1 -0568
我国分配给业余业务和卫星业余业务与其他业务共用、并且业余业务和卫星业余业务作 为次要业务的 1200MHz 以下频段有：,135.7kHz 、5351.5KHz 、10.1MHz、430MHz,3.5MHz 、7MHz、50MHz,3.5MHz 、18.068MHz 、144MHz,10.1MHz 、24.89MHz 、430MHz,A,MC1 -0183
对于比较考究的接收机，其说明书中常常列出一项“通带矩形系数”或“通带形状系数” 指标，是用来描述：,带通滤波器频率特性曲线两侧斜坡的陡峭程度,矩形波信号通过滤波器后波形两侧的陡峭程度,矩形波信号通过滤波器后谐波成分的损失程度,带通晶体滤波器中石英晶体的切割方向和形状,A,MC1 -0825
在CW日常通联中，适当使用带“请”字的祈使句可以活跃通联气氛。 “请”的缩语是：,PSE、PLS,PSK、ASK,PX、PWM,PWR、PTT,A,MC1 -0406
用电压电平表示接收机的灵敏度具有什么意义？常用单位是什么？,输出信号达到一定质量标准时输入信号的最小电动势。单位是μ V、dBμV或dBmV,输出信号达到一定质量标准时输入信号的最小电压。单位是μ V、dBμV或dBmV,输出信号达到一定质量标准时输入信号的最大电动势。单位是μ V或mV,输出信号达到一定质量标准时输出信号与输入信号的电压之比。单位是 dB,A,MC1 -0866
为什么业余电台在 10.1MHz 以下频段使用下边带进行话音通联，而在 10.1MHz 以上频段 却使用上边带？,这是各国业余无线电爱好者普遍接受并沿用至今的一种通联习惯,10.1MHz 以下频段更利于下边带的传播,10.1MHz 以上频段更利于上边带的传播,因为在接收机中设置一个 10.1MHz 的BFO可以同时收听上边带和下边带,A,MC1 -0441
在超外差式收发信机中，混频器的工作方式可分为“上变频”和“下变频”两种，具体 指：,中频频率高于输入频率的为上变频方式，中频频率低于输入频率的为下变频方式,输入频率高于中频频率的为上变频方式，输入频率低于中频频率的为下变频方式,本振频率高于输入频率的为上变频方式，本振频率低于输入频率的为下变频方式,输入频率高于本振频率的为上变频方式，输入频率低于本振频率的为下变频方式,A,MC1 -0839
Q简语“ QRV”的含义是：,我准备好收信了,我正忙于（与某台）联络,我有消息要发给你,我要减小发射功率,A,MC1 -0354
在频率划分表中，当一个频段划分给业余业务或卫星业余业务和多个其他业务，并且业 余业务和卫星业余业务作为次要业务时，业余无线电台遵循的规则是：,可要求保护不受来自同一业务或其他次要业务电台的有害干扰,可要求保护不受来自主要业务电台的有害干扰,不得对来自同一业务或其他次要业务电台的有害干扰提出保护要求,容许因设备技术问题对主要业务电台产生短时间有害干扰,A,MC1 -0178
业余无线电台是否可以发射从广播电台收到的信号、音像节目的录音，或者故意转送电 台周围的声音？,不可以，不得发送与业余业务和卫星业余业务无关的信号,可以，因为该类信息没有保密性,可以，用于显示自己发射设备的信号质量,可以，用于提起其他有业余无线电台操作员精神，防止乏困,A,MC1 -0123
Q简语“ QSY”的含义为：,我要改变发射频率至 ...千赫（或兆赫）,我要关闭收发信机了，再见,我不再呼叫了，尚未联络的请用 email约起来,我要变更操作方式了，有要联络的请尽快叫过来,A,MC1 -0372
通联时，我们有时称对方电台的操作员为“ old man” 。这是将对方比作亲密无间的队友， 因此为“老朋友” 、 “老伙计”之意且无关年龄。这个称呼的缩语是：,OM,OB,OC,OT,A,MC1 -0404
当输出信号满足规定质量标准时， 在输入阻抗为 50欧的某接收机天线输入端口处测得的 输入信号最小电压为 0.5μV。如果用电压电平μ V表示该机的灵敏度，则为：,1μV,0.5μV,50μV,2.5μV,A,MC1 -0872
频率的单位是：,赫（兹）,亨（利）,法（拉）,库（伦）,A,MC1 -0947
俗称的 0.7米业余波段的频率范围以及业余业务和卫星业余业务的使用状态分别为：,430 -440MHz，次要业务,430 -440MHz，主要业务,430 -440MHz，专用,420 -470MHz，次要业务,A,MC1 -0194
对于需要接收微弱信号的业余通信， 例如 EME通联， 接收机的噪声指数 NF（以对数表示） 是一项重要技术指标。关于 NF的一些基本常识是：,NF一定大于 0；在同样的灵敏度下， NF越接近 0越好,NF一定小于 0；在同样的灵敏度下， NF越接近 0越好,NF一定大于 1；在同样的灵敏度下， NF越大越好,NF一定处于 0和1之间；在同样的灵敏度下， NF越接近 1越好,A,MC1 -0883
业余无线电爱好者经常提及的“波长”与无线电波的频率有什么关系？,波长为光速与频率之比；频率越高，波长越短,波长与真空有些关联，但是在现实生活中无用,很明显，波长为频率的 1/4。这个常数应当牢记,很明显，波长为频率的 4倍。这个常数应当牢记,A,MC1 -0929
收发信机面板上的符号 PROC代表什么功能？,发信语音压缩，对音频输入电平进行检测并反馈控制，以使包络幅度较小语音获得提升,收信机前置放大器，在接收微弱信号时接入（此时某些技术指标可能低于额定值）,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,发信自动电平控制，对射频输出电平进行检测并反馈控制，以维持其在适当限度之内,A,MC1 -0616
发起 SSB呼叫时，你与周边电台的频率间隔应至少为：,2-3kHz,150 -500Hz,15 -50Hz,大约 6kHz,A,MC1 -0442
我国《无线电频率划分规定》划分给业余业务使用的最接近 Ku波段卫星电视广播频率的 频段 10-10.5GHz，属于无线电频谱的下列频段（波段） ：,超高频（厘米波）,特高频（分米波）,极高频（毫米波）,甚高频（米波）,A,MC1 -0228
以下哪种调制方式拥有最窄的发射带宽？,CW,单边带话,调频话,ATV,A,MC1 -0445
相比 SSB方式， FM的主要缺点是什么？,无法同时守听多个信号,抵抗脉冲干扰的能力差,对主载波的频率误差很敏感,含有恒定不变的载波分量，发射功率利用不充分,A,MC1 -0437
Q简语“ QSK”的含义为：,发报时，我能够在电码的间隙中听到电台的插入,你的信号正在衰落,你的电台存在键控缺陷（交流声、键击声、接触不良或发报手法不佳等）,请重复上一条消息,A,MC1 -0363
建立 CW联络后，我们经常值交换信号报告之机向对方表示问候。 “早晨好”的缩语是：,GM,GA,GL,GB,A,MC1 -0392
我国分配给业余业务和卫星业余业务专用的频段有：,7MHz、14MHz、21MHz、28MHz、47GHz频段,7MHz、14MHz、21MHz、28MHz、144MHz频段,3.5MHz 、14MHz、21MHz、28MHz、10GHz频段,7MHz、14MHz、28MHz、144MHz、430MHz频段,A,MC1 -0179
QRP操作时如果对方反映信号不好，我们可能会追问是否需要增加功率。此时可发送：,QRO？,QSO？,QRP？,QRS？,A,MC1 -0343
已知某卫星下行信号的发射天线是指向地面的偶极天线。由于卫星不断旋转，地面台站 所收电波的极化方向就会不断变化。为了不至极化问题致使接收中断，接收天线可以是：,指向卫星的右旋或左旋圆极化天线,垂直极化天线,水平极化天线,极化方向平行于卫星与地面电台之间连线的天线,A,MC1 -0705
2430MHz 可以表示为：,2.43GHz,243GHz,0.00243nHz,24.3kHz,A,MC1 -0960
若一部业余无线电台的工作电压为直流 13.8伏， FM方式的射频输出功率为 N瓦，电源 效率约为 80%，则发射时的工作电流约为：,0.091×Ｎ（安）,13.8×Ｎ（安）,13.8/Ｎ× 80%（安）,0.058×Ｎ（安）,A,MC1 -0848
单边带业余电台测试检查天线驻波比需要发射平稳的连续信号。文明的作法是：,将电台设为 CW方式并按下电键。或者，将电台设为 AM或FM方式并按下 PTT键（不对 话筒说话）以产生连续载波。测试结束后设回 SSB方式,将电台设为 SSB方式，用平稳的气流对话筒吹口哨,将电台设为 SSB方式，深呼吸后用平稳的气流对话筒发长音“啊”,将电台设为 SSB方式，深呼吸后用平稳的气流对话筒发长音“嘻”,A,MC1 -0620
阻抗的单位是：,欧（姆）,安（培）,伏（特）,瓦（特）,A,MC1 -0945
业余无线电通信缩语“ GN”的意思是：,晚安,早晨好,好运气,高兴,A,MC1 -0394
进行 FM话音通联时，我们能否单凭接收机中传出的对方的声音大小来准确判断对方的 信号有多强？,不能。鉴频器所解调的声音，其大小仅取决于中频信号的频偏，与中频信号的幅度无关。 况且，中频信号在进入鉴频器之前早已被限幅电路切齐，已无法鉴别强弱,不能。信号越强，自动增益控制的起控程度就越深。增益的急剧下降反而会压低音量,能。最终的信号就是经过放大处理的原始射频信号，当然是信号越强声音越大,能。调频信号的特点是信号越强频偏越大，解调之后的声音当然也越大,A,MC1 -0828
物理量“功率”描述的是：,电流在单位时间内所做的功,电子通过电路所获得的能量大小,负载总共消耗的能量,电源所能供应的电子数量最大值,A,MC1 -0937
在业余无线电通联中探讨天线时，缩写 LW代表：,长线天线,偶极天线,定向天线,垂直天线,A,MC1 -0422
业余无线电活动是否有序开展，会影响整个社会的无线电通信的安全和有效，使用不当 甚至会导致生命财产损失。业余无线电爱好者在这方的责任是：,业余无线电台设置、使用人应当加强自律,个人没有责任，只能依靠管理部门的监督检查和违法查处,个人没有责任，只能依靠业余无线电民间组织充当“协管”,有了电台执照，日常一切言行当然可以带到电台通信中，无责任可言,A,MC1 -0128
通联时，如需了解对方电台的位置，可使用短句：,QTH？,QRA？,QSP？,QSA？,A,MC1 -0373
在法定计量单位中， 词头μ的数学意义和文字含义分别为： （ “ x＾m” 表示 “ x的m次方” ）,10＾(-6)，微,10＾6，兆,10＾(-3)，毫,10＾3，千,A,MC1 -0951
有一类业余无线电操作员享有称呼“ YL” 。而有些业余无线电竞赛也为这些人士制定了专 享的规则。缩语“ YL”的含义是：,女士,好运,你的,领导,A,MC1 -0417
某些对讲机具有发送 CTCSS码的功能。缩写 CTCSS指的是：,亚音调静噪，即从 67-250.3Hz的38个亚音调频率中选取一个作为选通信号，代表 38种 状态之一，接收机没有收到特定的选通信号时自动关闭音频输出,双音多频编码，由 8个音调频率中的两个频率组合成的控制信号，代表 16种状态之一， 用于遥控和传输数字等简单字符,数字设备识别码，即在松开 PTT按键时自动发送一串代表设备代号的二进制数据,自动静噪，即在接收机没有收到信号时自动关闭音频输出,A,MC1 -0580
有时，我们通联的 DX电台仍使用“ GMT”来表示时间。该时间的含义是：,格林尼治时间,GPS管理区段时间,国际原子时,罗兰 C时间,A,MC1 -0393
在频率划分表中，当一个频段划分给业余业务或卫星业余业务和多个其他业务，并且业 余业务和卫星业余业务作为次要业务时，业余无线电台应该遵循的规则是：,不得对主要业务电台产生有害干扰,可要求保护不受来自主要业务电台的有害干扰,不得对来自同一业务或其他次要业务电台的有害干扰提出保护要求,容许因设备技术问题对主要业务电台产生短时间有害干扰,A,MC1 -0176
通联时，如需对方电台确认收妥自己发出的消息，可使用短句：,QSL？,QRZ？,QSP？,QRO？,A,MC1 -0364
下列哪一项可以解调 AM信号？,检波器,限幅器,鉴频器,反相器,A,MC1 -0834
亚音频静噪系统（ CTCSS）所用的声调大体位于音频中的什么范围？,67 -250.3Hz,16Hz -20kHz,16kHz -20kHz,220Hz -2503Hz,A,MC1 -0824
甲天线增益 6.15dBi， 乙天线增益 1dBd。 若两副天线按同样条件架设并用同样功率来驱动， 则在它们最大发射方向的同一远方地点接收时，两天线给出的信号功率关系为：,甲天线的信号功率为乙天线的两倍,甲天线的信号功率为乙天线的 1/2,甲天线的信号功率为乙天线的 5.15倍,甲天线的信号功率为乙天线的 6.15倍,A,MC1 -0666
收发信机面板上或设置菜单中的符号 VOL代表什么功能？,音量控制，用来调整接收机放出的声音大小,发信语音压缩，对音频输入电平进行检测并反馈控制，以提升语音包络幅度较小的部分,收信机前置放大器，在接收微弱信号时接入（此时某些技术指标可能低于额定值）,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,A,MC1 -0577
为什么用单边带收发信机发送  AFSK 信号时应关闭语音压缩功能？,语音压缩可能导致信号的包络畸变，破坏基带特征，抬升误码率,经语音压缩处理的信号，其相位变化已不存在，本质上无法解码,经语音压缩处理的信号，其幅度变化已不存在，本质上无法解码,语音压缩提升信号的峰均比，易导致发射机功率放大器过热损坏,A,MC1 -0618
"我国《无线电频率划分规定》划分给业余业务使用的 1,800kHz -2,000kHz 属于无线电频谱 的下列频段（波段） ：",MF,HF,VHF,LF,A,MC1 -0218
术语“信噪比（ SNR） ”在业余无线电领域广为使用。它是指：,有用信号功率对噪声功率的比值,有用信号峰值电压对噪声峰值电压的比值,有用信号功率对有用信号功率及噪声功率之和的比值,有用信号峰值电压对有用信号峰值电压及噪声峰值电压之和的比值,A,MC1 -0878
无线电通信及相关测试设备、电视设备和音频设备常用的传输接口标称阻抗分别为：,50欧、 75欧和 600欧,50欧、 600欧和 75欧,50欧、 50欧和 75欧,75欧、 50欧和 16欧,A,MC1 -0958
业余电台发起呼叫时会使用缩语：,CQ,CU AGN,TU,"Seek QSOs with you, Roger?",A,MC1 -0382
业余无线电爱好者在结束当前联络并祝愿对方好运好成绩时经常使用缩语：,GL,GB,TU,73,A,MC1 -0390
收发信机面板上的符号 ATT代表什么功能？,收信机输入衰减器，在接收大信号时接入，使信号不致过大而使前级电路过载,自动天线调谐，对天线电路的电压驻波比进行检测并进行自动补偿，以维持最小驻波比,发信自动电平控制，对射频输出电平进行检测并反馈控制，以维持其在适当限度之内,发信自动音量控制，对音频输入电平进行检测并反馈控制，以维持其在适当限度之内,A,MC1 -0602
既然收发信机已经具备 PTT功能，那为什么有些机型还要提供 VOX？,双手忙于其他工作时， VOX的“免提”特点有助于通联,VOX用于连接蓝牙耳机，提供操作的便捷性,VOX对话音提供更多加工处理，可有效降低发射带宽,VOX对话音提供更多加工处理，可使声音更易于辩识,A,MC1 -0579
甲乙两种型号的业余无线电收发信机在技术规格中给出的接收机灵敏度指标分别为 0.1 μV和0.15μV。关于该指标，正确的推论是：,无法比较二者接收微弱信号的能力，测量灵敏度时所用的输出信号质量标准未知,可以推断甲机接收微弱信号的能力比乙机的差，因为灵敏度指标的数值较小,可以推断甲机接收微弱信号的能力比乙机的高，因为可以接收的信号更微弱,可以推断甲机承受强信号的能力比乙机的低，因为其灵敏度数值比较小,A,MC1 -0868
什么是“鉴频”？,对调频信号进行解调的过程称为鉴频,判断信号的频率是否超过允许的频率范围的过程称为鉴频,判断信号的频率是否发生了不应有的偏离或者漂移的过程称为鉴频,对调幅信号进行解调的过程称为鉴频,A,MC1 -0833
我国《无线电频率划分规定》划分给业余业务使用的最低频段为 135.7 -137.8kHz，属于无 线电频谱的下列频段（波段） ：,低频（长波）,甚低频（甚长波）,特低频（特长波）,超低频（超长波）,A,MC1 -0215
甲、乙业余电台相距 10千米，分别使用 1/2波长水平和垂直偶极天线进行 UHF通联。现 双方都改用 1/2波长垂直偶极天线，则改变前后的通信效果有什么不同？,通信效果变好,通信效果不变,通信效果变差,通信效果的变化不确定,A,MC1 -0692
垂直接地天线（ GP）由电气长度为 1/4波长的垂直振子加上一个“镜像地平面”构成， 因十分简洁而被大量应用于手持和车载业余通信。但是，这种天线的工作有效性往往不如理 论预计的那么完美，特别是在波长较长的波段。造成这种情况的原因及改善方法是：,缺乏有效接地镜像； GP天线必须有足够大的导电平面以形成振子镜像，否则谐振频率和 阻抗都与理论值有出入。为此，应尽量用大面积金属导体与天线 /馈线的接地端相连,1/4波长垂直振子显然是太短了。改成 1/2波长即可解决问题,1/4波长垂直振子显然是太短了。在振子当中串联加感线圈即可解决问题,天线与电缆直接相连，匹配不佳。在天线和电缆之间加接“巴伦”即可解决问题,A,MC1 -0663
