问题,选项A,选项B,选项C,选项D,答案,题号
关于业余中继台的说法下列错误的是：,通过对业余无线电信号接收和放大转发，扩大通联范围的业余无线电台,通过发射信标信号，辅助验证电波传播条件的单发业余无线电台,通过对业余无线电信号接收和衰减转发，缩小通联范围的业余无线电台,通过接收信标信号，辅助验证电波传播条件的单发业余无线电台,BCD,MC3 -0047
关于业余信标台的说法下列错误的是：,通过发射信标信号，辅助验证电波传播条件的单发业余无线电台,通过接收信标信号，辅助验证电波传播条件的单发业余无线电台,通过对业余无线电信号接收和放大转发，扩大通联范围的业余无线电台,通过对业余无线电信号接收和衰减转发，缩小通联范围的业余无线电台,BCD,MC3 -0048
关于业余中继台哪下列哪些选项正确：,向其覆盖区域内的业余无线电台提供平等的服务,台址布局应当符合资源共享、集约的要求,仅设置申请人的团队成员优先使用，空闲时方供其他业余电台使用,因中继台购买和维护需要成本，要求业余电台必须付费使用中继台,AB,MC2 -0049
关于设置业余中继台下列说法正确的是：,台址布局应当符合资源共享、集约的要求,应当向其覆盖区域内的业余无线电台提供平等的服务,明确设台地点、使用频率、技术参数等设置、使用和运行维护要求并向社会公布,业余中继台服务区域超出本行政区域的，应当与地方无线电管理机构做好协调,ABCD,MC4 -0050
国家无线电管理机构及其委托的机构可以组织实施如下类别的业余无线电台操作技术能 力验证：,A类业余无线电台操作技术能力验证,B类业余无线电台操作技术能力验证,C类业余无线电台操作技术能力验证,一级个人业余电台操作证书,ABC,MC3 -0056
业余无线电台操作技术能力分为哪几类：,A类,B类,C类,D类,ABC,MC3 -0057
不同类别业余无线电台的主要区别在于：,允许工作的频率范围,允许发射的最大发射功率,所用业余无线电台设备的功能,所用业余无线电台的天线高度和长度,AB,MC2 -0058
参加 A类业余无线电台操作技术能力验证应当符合下列哪些要求：,应当熟悉无线电管理规定,具有一定的业余无线电台操作技术能力,应当年满 18周岁,应当年满 16周岁,AB,MC2 -0062
参加 B类业余无线电台操作技术能力验证应当符合下列哪些要求：,应当依法取得业余无线电台执照 6个月以上,具有相应的实际操作经验,应当年满 18周岁,应当年满 16周岁,AB,MC2 -0063
参加 C类业余无线电台操作技术能力验证应当符合下列哪些要求：,应当依法取得载明 30MHz以下频段的业余无线电台执照 18个月以上,具有相应的实际操作经验,应当依法取得载明 30MHz以下频段的业余无线电台执照 6个月以上,应当依法取得载明 30MHz以下频段的业余无线电台执照 12个月以上,AB,MC2 -0064
取得 A类业余无线电台操作技术能力验证证书的，可以申请设置、使用如下业余无线电 台:,设置、使用最大发射功率不大于 25瓦VHF频段业余无线电台,设置、使用最大发射功率不大于 25瓦UHF频段业余无线电台,设置、使用最大发射功率不大于 25瓦HF频段业余无线电台,设置、使用最大发射功率不大于 15瓦HF频段业余无线电台,AB,MC2 -0065
取得 B类业余无线电台操作技术能力验证证书的，可以申请设置、使用如下业余无线电 台:,设置、使用最大发射功率不大于 25瓦VHF频段业余无线电台,设置、使用最大发射功率不大于 25瓦UHF频段业余无线电台,设置、使用最大发射功率小于 15瓦HF频段业余无线电台,设置、使用最大发射功率小于 15瓦LF频段业余无线电台,ABCD,MC4 -0066
取得 C类业余无线电台操作技术能力验证证书的，可以申请设置、使用如下业余无线电 台:,设置、使用最大发射功率不大于 25瓦VHF频段业余无线电台,设置、使用最大发射功率不大于 25瓦UHF频段业余无线电台,设置、使用最大发射功率不大于 1000瓦HF频段业余无线电台,因开展特殊技术试验、通联等活动确需设置、使用大于 25瓦VHF频段业余无线电台,ABCD,MC4 -0067
关于开展特殊技术试验、通联等活动，下列说法正确的是：,开展特殊技术试验、通联等活动，确需超出业余无线电台执照载明的功率限值使用业余 无线电台的，需经颁发业余无线电台执照的无线电管理机构批准,取得 C类业余无线电台操作技术能力验证证书且取得业余无线电台执照的人员，经批准 可临时在限定条件下开展电台操作,取得 B类业余无线电台操作技术能力验证证书且取得业余无线电台执照的人员，经批准 可临时在限定条件下开展电台操作,取得 A类业余无线电台操作技术能力验证证书且取得业余无线电台执照的人员，经批准 可临时在限定条件下开展电台操作,AB,MC2 -0068
关于未成年人设置、使用业余无线电台，下列哪些选项为正确：,持有 A类验证证书的可以设置最大发射功率不大于 25瓦VHF频段业余无线电台,持有 B类验证证书的可以设置最大发射功率不大于 25瓦VHF频段业余无线电台,持有 A类验证证书的可以设置最大发射功率不大于 15瓦HF频段业余无线电台,持有 B类验证证书的可以设置最大发射功率不大于 15瓦HF频段业余无线电台,AB,MC2 -0069
关于业余无线电台操作技术能力验证，下列哪些选项为正确：,业余无线电台操作技术能力验证题库以及验证标准由国家无线电管理机构制定,无线电管理机构或者其委托的机构组织将提前向社会公布验证时间、验证要求等有关事 项,参加业余无线电台操作技术能力验证成绩合格的，由无线电管理机构颁发业余无线电台 操作技术能力验证证书,不得向参加验证的人员收取费用,ABCD,MC4 -0070
关于新版《办法》施行前，依法取得 B类业余无线电台操作技术能力验证证书的，下列 哪些选项为正确：,可以按照规定的许可权限申请设置、使用工作在 30MHz以下频段且最大发射功率不大于 100瓦,可以按照规定的许可权限申请设置、使用工作在 30MHz以上频段且最大发射功率不大于 25瓦的业余无线电台,应按照新版《办法》中 B类业余无线电台操作技术能力验证规定的范围设置、使用电台,新版《办法》施行前取得的 B类业余无线电台操作技术能力验证证书不再有效,AB,MC2 -0071
《业余无线电台管理办法》规定正确使用业余无线电台呼号的方法是：,使用业余无线电台的单位或者个人应当在每次通信建立及结束时发送本业余无线电台呼 号,在通信过程中不定期（间隔不超过 10分钟）发送本业余无线电台呼号,鼓励业余无线电台在通联期间通过技术手段自动发送电台呼号,使用业余无线电台的单位或者个人在通信中可以用姓名、代号、适当的别名或者法规定 呼号的部分数字和字母代替完整的业余电台呼号作为电台的标识,ABC,MC3 -0072
业余无线电台呼号停止使用的，下列说法正确的是：,业余无线电台呼号停止使用的，应当依法予以注销,除业余中继台、业余信标台呼号外，其他业余无线电台呼号注销 1年后，无线电管理机 构可以将相关电台呼号重新投入分配,业余无线电台呼号停止使用的，不用申请注销,除业余中继台、业余信标台呼号外，其他业余无线电台呼号注销后，无线电管理机构可 立即将相关电台呼号重新投入分配,AB,MC2 -0075
在他人依法设置的业余无线电台上进行发射操作的，下列说法正确的是：,应当使用所操作业余无线电台的呼号或者实际操作人员取得的呼号,使用实际操作人员取得的呼号的，业余无线电台通联期间发送呼号的格式应当符合国内 国际相关要求,不可在他人依法设置的业余无线电台上进行发射操作,业余无线电爱好者只能在自己设置的业余无线电台上进行发射操作,AB,MC2 -0077
满足下列哪些条件，可以临时使用其他业余无线电台呼号？,参加或者举办业余无线电通联比赛以及其他重大业余无线电活动,经比赛（活动）主办方（牵头单位）报国家无线电管理机构批准,其他业余无线电台呼号符合国际规则,何时何地都不能临时使用其他业余无线电台呼号,ABC,MC3 -0078
关于业余无线电台呼号，下列说法正确的是：,呼号第一部分为呼号前缀,呼号第二部分为电台种类,呼号第三部分为分区编号,呼号第四部分为呼号后缀,ABCD,MC4 -0079
关于业余无线电台呼号前缀，下列说法正确的是：,呼号前缀（呼号第一部分）由一位字母组成,为国际电信联盟分配的呼号前缀字母 B,为国际电信联盟分配的呼号前缀字母 BA,为国际电信联盟分配的呼号前缀字母 A,AB,MC2 -0080
关于电台种类（呼号第二部分） ，下列说法正确的是：,字母 G、H、I、D、A、B、C、E、F、K、L用于一般业余无线电台呼号,字母 J用于空间业余无线电台呼号,字母 R用于业余中继台和业余信标台呼号,字母 S、T、Y、Z以及其他字母序列的业余无线电台呼号由国家无线电管理机构保留,ABCD,MC4 -0081
关于分区编号（呼号第三部分） ，下列说法正确的是：,由一位数字组成,用于表示业余无线电台分区号,空间业余无线电台分区号为 1,空间业余无线电台分区号为 2,ABC,MC3 -0082
关于呼号后缀（呼号第四部分） ，下列说法正确的是：,由1～4位的字母或者字母和数字的组合组成,1位、 4位呼号后缀，以及带有数字的呼号后缀由国家无线电管理机构保留,QOA～QUZ及SOS、XXX、TTT等可能与遇险信号或类似性质的其他信号混淆的字母组合 不用作呼号后缀,呼号后缀由 1～4位数字组成,ABC,MC3 -0083
各省、自治区、直辖市无线电管理机构核发一般业余无线电台呼号时，下列说法正确的 是：,呼号第二部分按照 G、H、I、D、A、B、C、E、F、K、L顺序,第四部分按照双字母、三字母组合顺序依次编制并核发业余无线电台呼号,各省、自治区、直辖市无线电管理机构核发的业余无线电台呼号前缀都相同,各省、自治区、直辖市无线电管理机构核发的业余无线电台呼号的分区号都相同,ABC,MC3 -0084
关于使用业余无线电台呼号正确的是：,应当在每次通信建立时主动发送（报出）本台业余无线电台呼号,应当在每次通信结束时主动发送（报出）本台业余无线电台呼号,应当在每次通信过程中每十分钟发送（报出）本台业余无线电台呼号,应当在每次通信过程中主动发送（报出）自造的呼号作为本台业余无线电台呼号的补充,ABC,MC3 -0087
业余无线电台呼号由下列哪些部分组成：,呼号前缀,电台种类,分区编号,呼号后缀,ABCD,MC4 -0088
关于我国业余无线电台分区号，业余分区号为 2的省（自治区、直辖市）为：,黑龙江,吉林,辽宁,广东,ABC,MC3 -0092
关于我国业余无线电台分区号，业余分区号为 3的省（自治区、直辖市）为：,天津,内蒙古,河北,山西,ABCD,MC4 -0093
关于我国业余无线电台分区号，业余分区号为 4的省（自治区、直辖市）为：,上海,山东,江苏,海南,ABC,MC3 -0094
关于我国业余无线电台分区号，业余分区号为 5的省（自治区、直辖市）为：,浙江,江西,福建,广西,ABC,MC3 -0095
关于我国业余无线电台分区号，业余分区号为 6的省（自治区、直辖市）为：,安徽,河南,湖北,四川,ABC,MC3 -0096
关于我国业余无线电台分区号，业余分区号为 7的省（自治区、直辖市）为：,湖南,广东,广西,海南,ABCD,MC4 -0097
关于我国业余无线电台分区号，业余分区号为 8的省（自治区、直辖市）为：,四川,重庆,贵州,云南,ABCD,MC4 -0098
关于我国业余无线电台分区号，业余分区号为 9的省（自治区、直辖市）为：,陕西,甘肃,宁夏,青海,ABCD,MC4 -0099
关于我国业余无线电台分区号，业余分区号为 0的省（自治区、直辖市）为：,新疆,西藏,上海,重庆,AB,MC2 -0100
业余无线电台使用的无线电发射设备必须符合下列条件：,商品设备应依法取得型号核准，型号核准证载明的频率范围包含业余业务频段,自制、改装、拼装设备应符合国家标准和国家无线电管理规定，且无线电发射频率范围 仅限于业余业务频段,自制、改装、拼装设备不受限制,国外商品设备符合国际流行技术标准即可,AB,MC2 -0111
未取得相应业余无线电台执照或者相应操作技术能力的人员，为提高业余无线电台操作 技术能力的需要，可以在他人依法设置的业余无线电台上进行发射操作实习。应遵守的条件 是什么？,发射操作实习应当由业余无线电台设置、使用人或者其技术负责人现场监督指导,使用的频率范围和发射功率应当在 B类业余无线电台操作技术能力验证证书确定的范围 内,使用的频率范围和发射功率不得超过现场监督指导人员依法取得的业余无线电台操作技 术能力验证证书确定的范围,尚未取得关于具备操作技术能力有效证明文件的人任何情况下都不可以进行发射操作,ABC,MC3 -0119
业余无线电台禁止从事下列活动：,在我国境内进行电波参数测试或者电波监测,向境外组织或者个人提供涉及国家安全的境内电波参数资料,故意收发无线电台执照许可事项之外的无线电信号,传播、公布或者利用无意接收的信息,ABCD,MC4 -0131
业余无线电台应当遵守下列哪些规定：,在业余业务或者卫星业余业务频段内收发信号,不得擅自使用无线电频率,不得对依法开展的无线电业务造成有害干扰,不得利用无线电台 (站)进行违法犯罪活动,ABCD,MC4 -0132
以下哪些使用业余无线电台的行为超越了在业余业务频率范围内收发信号的规定：,利用业余无线电台收听民用航空器电台通联,利用业余无线电台收听铁路机车电台通联,利用业余无线电台收听渔船海事电台通联,利用业余无线电台收听国际空间站业余无线电台,ABC,MC3 -0133
下列哪些未取得型号核准的无线电发射设备不可以作为自制、改装、拼装的业余无线电 台设置、使用：,相关企业批量生产的未取得型号核准证的无线电发射设备,已取得型号核准证，但型号核准证载明的频率范围不含业余业务的无线电发射设备,已取得型号核准证，但自行更换设备操作软件将频率范围扩展到业余业务频段的无线电 发射设备,依法改装的取得型号核准证载明的频率范围包含业余业务频段的无线电发射设备,ABC,MC3 -0134
使用业余无线电台不得从事下列活动 :,发布、传播法律、行政法规禁止发布、传播的信息,用于谋取商业利益等超出业余无线电台使用属性之外的目的,故意干扰、阻碍其他无线电台（站）通信,故意收发业余无线电台执照载明事项之外的无线电信号,ABCD,MC4 -0135
使用业余无线电台不得从事下列活动 :,传播、公布或者利用无意接收的信息,擅自编制、使用业余无线电台呼号,涂改、倒卖、出租或者出借业余无线电台执照,向境外组织或者个人提供涉及国家安全的境内电波参数资料,ABCD,MC4 -0136
使用业余无线电台应当符合如下规定：,定期维护业余无线电台,保证其性能指标符合国家标准,保证其性能指标符合国家无线电管理的有关规定,避免对其他依法设置、使用的无线电台（站）产生有害干扰,ABCD,MC4 -0137
关于业余无线电台在通信过程中使用的语言，正确的做法为 :,在通信过程中使用明语,在通信过程中使用业余无线电领域公认的缩略语、简语,在通信过程中使用公开的技术体制和通信协议,在通信过程中使用自创的特殊缩略语,ABC,MC3 -0138
业余无线电爱好者在应对突发事件应急处置应当遵守下列规定：,为突发事件应急处置的需要，业余无线电台可以与非业余无线电台通信,通信内容应当限于与突发事件应急处置直接相关的紧急事务,遇有危及国家安全、公共安全、生命财产安全等紧急情况，可以不经批准临时设置、使 用业余无线电台，但应当在 48小时内向电台所在地的无线电管理机构报告,遇有危及国家安全、公共安全、生命财产安全等紧急情况，未经批准临时设置、使用业 余无线电台应在紧急情况消除后及时关闭,ABCD,MC4 -0142
关于无线电频谱资源，下列说法正确的是：,无线电频谱资源属于国家所有,国家对无线电频谱资源实行统一规划、合理开发、有偿使用的原则,国家鼓励、支持对无线电频谱资源的科学技术研究和先进技术的推广应用，提高无线电 频谱资源的利用效率,根据维护国家安全、保障国家重大任务、处置重大突发事件等需要，国家可以实施无线 电管制,ABCD,MC4 -0144
关于无线电频率、业务、台（站） ，下列说法正确的是：,任何单位或者个人不得擅自使用无线电频率,任何单位或者个人不得对依法开展的无线电业务造成有害干扰,任何单位或者个人不得利用无线电台（站）进行违法犯罪活动,设置、使用业余无线电台需要遵守《中华人民共和国无线电管理条例》,ABCD,MC4 -0145
决定实施无线电管制的机构为：,在全国范围内或者跨省、自治区、直辖市实施，由国务院和中央军事委员会决定,在省、自治区、直辖市范围内实施，由省、自治区、直辖市人民政府和相关军区决定,在全国范围内或者跨省、自治区、直辖市实施，由国家无线电管理机构决定,在省、自治区、直辖市范围内实施，由相关地方无线电管理机构决定,AB,MC2 -0151
违反无线电管制命令和无线电管制指令的，由下列机构依法进行处罚：,国家无线电管理机构或者省、自治区、直辖市无线电管理机构,违反治安管理规定者由公安机关处罚,当地业余无线电协会,所在军区派出的专门机构,AB,MC2 -0152
业余电台违反无线电管制命令和无线电管制指令的，可以依法规受到下列处罚：,责令改正；拒不改正的，关闭、查封、暂扣或者拆除相关设备,情节严重的，吊销电台执照,违反治安管理规定的，由公安机关处罚,处警告或者三万元以下的罚款,ABC,MC3 -0153
对未经许可擅自使用无线电频率的， 无线电管理机构可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正，没收从事违法活动的设备和违法所得，可以并处 5万元以 下的罚款,拒不改正的，并处 5万元以上 20万元以下的罚款,劝告拆除非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0154
对擅自设置、 使用业余无线电台的， 无线电管理机构可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正，没收从事违法活动的设备和违法所得，可以并处 5万元以 下的罚款,拒不改正的，并处 5万元以上 20万元以下的罚款,劝告拆除非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0155
不按照业余无线电台执照规定的许可事项和要求设置、使用业余无线电台的，无线电管 理机构可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正，没收违法所得，可以并处 3万元以下的罚款,造成严重后果的，吊销无线电台执照，并处 3万元以上 10万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0157
故意收发业余无线电台执照许可事项之外的无线电信号，传播、公布或者利用无意接收 的信息，无线电管理机构可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正，没收违法所得，可以并处 3万元以下的罚款,造成严重后果的，吊销无线电台执照，并处 3万元以上 10万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0158
擅自编制、 使用业余无线电台呼号， 无线电管理机构可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正，没收违法所得，可以并处 3万元以下的罚款,造成严重后果的，吊销无线电台执照，并处 3万元以上 10万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0159
研制、生产、销售和维修大功率无线电发射设备，未采取有效措施抑制电波发射的，无 线电管理机构可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正；拒不改正的，没收从事违法活动的设备，并处 3万元以上 10万元以下的罚款,造成严重后果的，并处 10万元以上 30万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0162
境外组织或者个人在我国境内进行电波参数测试或者电波监测的，无线电管理机构可以 根据其具体情况给予下列处罚：,由无线电管理机构责令改正；拒不改正的，没收从事违法活动的设备，并处 3万元以上 10万元以下的罚款,造成严重后果的，并处 10万元以上 30万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出 书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0163
向境外组织或者个人提供涉及国家安全的境内电波参数资料的，无线电管理机构可以根 据其具体情况给予下列处罚：,由无线电管理机构责令改正；拒不改正的，没收从事违法活动的设备，并处 3万元以上 10万元以下的罚款,造成严重后果的，并处 10万元以上 30万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0164
生产或者进口在国内销售、使用的无线电发射设备未取得型号核准的，无线电管理机构 可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正，处 5万元以上 20万元以下的罚款,拒不改正的，没收未取得型号核准的无线电发射设备，并处 20万元以上 100万元以下的 罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0165
销售依照本条例第四十四条的规定应当取得型号核准的无线电发射设备未向无线电管理 机构办理销售备案的，无线电管理机构可以根据其具体情况给予下列处罚：,由无线电管理机构责令改正,拒不改正的，处 1万元以上 3万元以下的罚款,责令停止使用非法设置的电台；情节严重的，可以并处警告、查封或者没收设备,责令停止使用非法设置的电台并作出书面检查；情节严重的，可以并处一千元以下的罚 款,AB,MC2 -0166
关于违反《中华人民共和国无线电管理条例》规定，下列说法正确的是：,构成违反治安管理行为的，依法给予治安管理处罚,构成犯罪的，依法追究刑事责任,进口无线电发射设备，携带、寄递或者以其他方式运输无线电发射设备入境，违反海关 监管法律法规的，由海关依法处罚,违反《条例》规定，只需被无线电管理机构处罚,AB,MC2 -0167
以欺骗、贿赂等不正当手段取得业余无线电台执照的，可以给予下列处罚：,无线电管理机构依法给予行政处罚,构成犯罪的，依法追究刑事责任,责令限期改正，可以处警告或者一千元以下的罚款,责令限期改正，情节严重的，可以并处警告、查封或者没收设备,AB,MC2 -0169
关于《中华人民共和国网络安全法》 ，下列说法正确的是：,任何个人和组织使用网络应当遵守宪法法律，遵守公共秩序，尊重社会公德，不得危害 网络安全,不得利用网络从事危害国家安全、荣誉和利益的活动,不得利用网络编造、传播虚假信息扰乱经济秩序和社会秩序,不得利用网络侵害他人名誉、隐私、知识产权和其他合法权益,ABCD,MC4 -0171
以下哪些是《中华人民共和国国家安全法》中规定的公民和组织应当履行的义务？,遵守宪法、法律法规关于国家安全的有关规定,及时报告危害国家安全活动的线索,如实提供所知悉的涉及危害国家安全活动的证据,为国家安全工作提供便利条件或者其他协助,ABCD,MC4 -0173
下列哪些违法行为将由无线电管理机构依照《中华人民共和国无线电管理条例》的规定 处理：,违法使用业余无线电台干扰无线电业务正常进行的,向境外组织或者个人提供涉及国家安全的境内电波参数资料,擅自编制、使用业余无线电台呼号的,故意收发业余无线电台执照载明事项之外的无线电信号，传播、公布或者利用无意接收 的信息的,ABCD,MC4 -0213
业余无线电台使用业余业务频率使用原则：,无需取得无线电频率使用许可,免收无线电频率占用费,需取得无线电频率使用许可,需收取无线电频率占用费,AB,MC2 -0214
业余无线电台交换 QSL卡具有多重意义，包括：,确认本地、国内，甚至世界范围内的无线电联络,掌握包括自制发射机在内的本台设备的运作表现,申请奖状，证明自己在通信、技术等领域的努力,纯粹收集，欣赏，展示来自世界各地的 QSL卡片,ABCD,MC4 -0276
QSL卡片应至少涵盖哪些内容：,联络双方的电台呼号,双方信号报告和联络时间,操作方式及联络频率,操作员签章、本台通信地址,ABCD,MC4 -0277
Yaesu System Fusion 简称 YSF， 是数字语音和数据传输相互融合的一种通信方式， 特点是：,该方式为业余无线电通信广为采用,具备通过中继台转发进行通信的能力,调制方式为 C4FM,使用时分多址技术增加带宽的利用率,ABC,MC3 -0512
Icom D -STAR System 提供了一种数据通信方式，特点是：,是业余无线电通信广为采用的一种数字语音和数据传输方式,可以通过中继台扩展 D-STAR用户的通信范围,该方式允许用户通过互联网和 D-STAR热点与其他用户通信,D -STAR支持全球卫星定位和位置报告功能,ABCD,MC4 -0513
FreeDV 是一种数字语音方式。其特点是：,为爱好者提供一种传输带宽较窄，完全适合 HF的数字语音方式,为爱好者提供探索数字通信原理和语音处理技术的可能性,在遵循开源许可协议的前提下可用来研发自己的业余无线电装备,使用 FM手持或车载电台进行 FreeDV通信时音色尤为优美,ABC,MC3 -0514
数字业余电视（ DATV）是将数字音视频压缩编码实验用于实时图像通信的一种方式。通 过卫星转发器进行 DATV联络时，爱好者们普遍选用 DVB -S2协议，调制方式可以是：,QPSK,8PSK,16APSK,32APSK,ABCD,MC4 -0515
